name,web_link,locality,type,rate,votes,cuisines,avg_cost,payment,timing,address,delivery,table reservation required,free wifi,full bar available,unlimited pizza,private dining area available
AB's - Absolute Barbecues,https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi,Hinjawadi,Casual Dining,4.9,7029,"Continental, North Indian, Chinese","₹1,400",Cash and Cards accepted,"12noon – 4:30pm, 6:30pm – 11:30pm","Shop 206, 2nd Floor, White Square Building, Opposite Atlanta Complex, Hinjawadi, Pune",0,0,0,1,0,0
Cafe Co2 Resto Lounge,https://www.zomato.com/pune/cafe-co2-resto-lounge-bhugaon,Bhugaon,"Lounge, Casual Dining",4.6,2578,"North Indian, Chinese, Continental, Kebab, Seafood","₹1,500",Cash and Cards accepted,11am – 4am,"Near Manas Lake, Bhugaon, Pune",0,0,0,1,0,0
Paasha - JW Marriott Pune,https://www.zomato.com/pune/paasha-jw-marriott-pune-senapati-bapat-road,Senapati Bapat Road,Fine Dining,4.6,3291,"North Indian, Kebab, Biryani","₹2,500","Cash,Cards and Digital Payments accepted",5:30pm – 12:30am,"JW Marriott, Senapati Bapat Road, Pune",0,0,0,1,0,0
I Amsterdam,https://www.zomato.com/pune/i-amsterdam-hinjawadi,Hinjawadi,"Casual Dining, Bar",4.3,430,"Asian, European, Modern Indian, Italian","₹1,400","Cash,Cards and Digital Payments accepted",12noon – 1am,"Survey 257/1/1A, Near Raj Laxmi Petrol Pump, Phase 2 Road, Hinjawadi, Pune",0,0,0,1,0,0
FC Road Social,https://www.zomato.com/pune/fc-road-social-shivaji-nagar,Shivaji Nagar,"Bar, Casual Dining",4.5,2138,"North Indian, Chinese, Biryani, American, Continental","₹1,500","Cash,Cards and Digital Payments accepted",9am – 1am,"CTS 1183, Unit 101, 1st Floor, Mezzanine Floor, Cello Platina, FC Road, Shivaji Nagar, Pune",1,0,0,1,0,0
Flechazo,https://www.zomato.com/pune/flechazo-wakad,Wakad,"Bar, Casual Dining",4.6,4731,"Asian, Mediterranean, North Indian","₹1,400",Cash and Cards accepted,"11:30am – 4pm, 6:30pm – 12midnight","165, 3rd Floor, Vantagio, Near Silver Sports Club, Wakad, Pune",0,0,0,0,1,0
Barbeque Nation - Sayaji Hotel,https://www.zomato.com/pune/barbeque-nation-sayaji-hotel-wakad,Wakad,Casual Dining,4.5,2999,"North Indian, Mughlai, Salad, Kebab, BBQ","₹1,700",Cash and Cards accepted,"12noon – 3pm, 7pm – 11pm","Sayaji Hotel, 10th Floor, 135/136, Mumbai Bangalore Bypass Highway, Wakad, Pune",0,0,0,1,0,0
BeHive,https://www.zomato.com/pune/behive-hinjawadi,Hinjawadi,"Pub, Casual Dining",4.0,1437,"North Indian, Chinese, Continental","₹1,400",Cash and Cards accepted,12noon – 1am,"New DP Road, Near Laxmi Chowk, Hinjawadi, Pune",0,0,0,1,0,0
Kayani Bakery,https://www.zomato.com/pune/kayani-bakery-east-street,East Street,Bakery,4.7,2296,Bakery,₹150,Cash only,"7:30am – 1pm, 3:30pm – 8pm","6, Dr Coyage Road, Hulshur, Camp, East Street, Pune",0,0,0,0,0,0
Exotica,https://www.zomato.com/pune/exotica-yerawada,Yerawada,Casual Dining,4.2,3758,"North Indian, Chinese, Mediterranean, Continental","₹1,400",Cash and Cards accepted,12:30pm – 11:30pm,"7th Floor, Tower C, Panchshil Tech Park, Near Pune Golf Course, Yerawada, Pune",1,0,0,1,0,0
